cgpa,dsa_questions,coding_skill,aptitude_score,communication_skill,projects,internships,mock_interviews,resume_score,weekly_prep_hours,readiness_score
8.412,286.874,3.000,54.542,10.000,0.000,0.000,5.000,91.153,55.329,57.227
5.699,248.098,8.000,72.736,5.000,3.000,2.000,6.000,51.052,26.835,70.940
6.000,316.252,3.000,49.688,5.000,4.000,0.000,3.000,99.841,7.640,61.533
5.037,127.710,8.000,39.895,7.000,2.000,0.000,6.000,87.349,15.716,52.187
8.935,621.203,10.000,97.308,6.000,6.000,2.000,4.000,60.136,19.414,85.758
8.324,263.615,8.000,86.667,4.000,1.000,2.000,3.000,43.298,2.357,57.563
8.526,172.266,2.000,97.095,4.000,3.000,0.000,5.000,57.713,28.689,51.973
8.904,22.137,2.000,45.248,6.000,2.000,0.000,5.000,41.902,8.181,34.968
7.295,139.409,5.000,31.247,1.000,0.000,2.000,2.000,74.999,9.951,37.095
7.844,326.474,6.000,60.608,2.000,4.000,1.000,4.000,42.340,6.632,62.170
5.699,473.242,8.000,95.353,1.000,2.000,0.000,5.000,62.983,25.844,64.080
5.573,193.030,5.000,39.683,2.000,1.000,2.000,0.000,78.392,21.261,47.588
8.342,523.780,2.000,38.203,2.000,1.000,1.000,5.000,64.450,26.649,51.207
7.355,85.315,10.000,34.827,1.000,2.000,1.000,3.000,92.307,33.535,53.977
7.826,253.385,10.000,83.551,1.000,5.000,0.000,6.000,50.665,16.969,61.609
8.825,258.417,7.000,85.015,9.000,2.000,0.000,7.000,69.053,10.874,66.088
8.174,288.460,7.000,78.676,2.000,1.000,0.000,2.000,94.357,17.150,55.848
7.768,212.789,10.000,33.730,6.000,3.000,0.000,6.000,57.958,9.899,59.292
7.796,243.754,5.000,80.630,1.000,3.000,3.000,4.000,65.726,20.425,58.914
6.520,83.525,2.000,61.404,10.000,0.000,0.000,0.000,95.635,29.255,42.051
5.154,443.948,7.000,41.053,3.000,4.000,1.000,2.000,67.455,8.542,63.358
7.184,352.613,5.000,50.659,8.000,2.000,0.000,2.000,91.176,17.237,60.871
6.073,237.049,8.000,65.080,7.000,2.000,0.000,4.000,96.130,14.007,56.486
7.043,358.144,8.000,53.076,8.000,2.000,0.000,5.000,51.647,14.611,65.976
9.267,453.218,5.000,97.882,7.000,0.000,0.000,3.000,86.080,25.568,65.960
6.170,285.593,4.000,63.232,6.000,3.000,0.000,12.000,77.494,19.613,61.984
5.292,664.191,5.000,56.051,8.000,2.000,1.000,6.000,99.137,12.621,70.719
6.407,302.009,7.000,77.122,9.000,1.000,1.000,2.000,73.062,13.604,63.267
6.468,95.316,7.000,75.538,4.000,4.000,1.000,4.000,86.531,15.842,60.315
8.310,228.671,6.000,30.171,10.000,3.000,0.000,6.000,57.470,15.245,62.327
7.785,367.493,6.000,73.293,10.000,2.000,0.000,5.000,74.415,15.828,70.383
8.919,453.504,10.000,47.064,8.000,3.000,2.000,7.000,85.608,23.130,85.142
8.322,216.055,3.000,56.266,10.000,2.000,2.000,8.000,97.849,6.547,63.236
7.032,88.936,2.000,79.444,2.000,3.000,1.000,2.000,51.370,19.756,46.509
9.070,161.086,8.000,69.017,6.000,4.000,2.000,4.000,40.128,21.010,71.680
5.835,57.485,10.000,55.806,7.000,2.000,1.000,2.000,98.460,40.515,63.536
5.114,323.341,7.000,41.719,10.000,3.000,3.000,5.000,74.172,14.184,72.637
5.450,138.043,5.000,65.384,2.000,3.000,1.000,7.000,36.121,19.562,46.258
8.612,108.419,4.000,52.356,9.000,2.000,1.000,3.000,68.799,25.449,56.687
7.309,344.817,5.000,93.905,1.000,2.000,2.000,3.000,95.843,19.326,64.285
5.806,517.012,1.000,67.404,4.000,0.000,2.000,3.000,98.988,3.562,54.230
7.505,108.028,6.000,90.617,7.000,0.000,0.000,8.000,56.171,3.902,51.097
5.762,217.074,3.000,57.313,3.000,3.000,0.000,5.000,85.824,13.412,49.761
8.482,166.264,3.000,87.921,9.000,3.000,1.000,8.000,64.815,15.096,58.223
7.231,467.191,6.000,33.958,10.000,2.000,0.000,3.000,60.871,18.175,61.548
6.905,180.929,10.000,50.868,2.000,4.000,0.000,4.000,84.283,6.198,56.397
6.508,81.742,3.000,35.472,3.000,2.000,1.000,2.000,52.548,21.409,39.233
8.151,187.395,10.000,32.216,1.000,2.000,1.000,5.000,62.715,6.264,54.057
6.809,405.000,6.000,94.320,8.000,1.000,3.000,2.000,51.025,19.168,73.270
5.438,158.934,10.000,80.181,9.000,3.000,2.000,5.000,44.271,7.717,70.711
5.590,117.586,4.000,73.758,7.000,3.000,0.000,3.000,59.654,20.771,48.195
9.809,174.912,10.000,67.274,2.000,5.000,0.000,0.000,97.350,25.529,62.003
9.543,84.081,7.000,69.869,2.000,1.000,1.000,4.000,62.227,9.006,45.814
8.499,166.101,7.000,74.708,1.000,1.000,4.000,4.000,79.410,18.986,56.390
6.329,124.917,6.000,87.861,5.000,3.000,0.000,4.000,53.530,16.610,54.881
9.846,741.531,5.000,71.782,8.000,0.000,0.000,10.000,91.248,8.723,67.797
8.894,28.903,6.000,82.401,2.000,2.000,1.000,7.000,75.619,6.014,48.662
8.584,94.958,9.000,49.668,9.000,2.000,1.000,1.000,96.780,21.660,63.150
7.247,117.513,8.000,98.373,3.000,5.000,0.000,2.000,56.187,37.370,62.719
6.361,84.588,1.000,32.233,6.000,2.000,3.000,7.000,69.972,12.607,42.557
5.482,255.114,7.000,57.060,7.000,2.000,0.000,5.000,47.418,3.625,54.706
9.513,106.424,9.000,91.743,6.000,4.000,2.000,2.000,43.832,2.349,66.984
7.279,51.596,8.000,42.637,5.000,4.000,1.000,1.000,73.048,15.758,54.334
6.012,203.372,5.000,39.894,4.000,3.000,1.000,9.000,87.222,4.968,55.089
6.530,151.990,4.000,55.580,5.000,3.000,1.000,13.000,47.987,4.233,53.437
7.896,110.644,7.000,59.974,3.000,2.000,2.000,11.000,80.690,8.586,58.492
5.884,459.620,7.000,95.338,3.000,2.000,0.000,8.000,78.651,21.327,64.894
9.283,261.114,4.000,88.528,8.000,1.000,1.000,2.000,66.366,20.306,58.832
8.793,241.187,5.000,62.486,9.000,3.000,1.000,4.000,84.849,22.094,72.561
8.597,265.144,4.000,98.108,9.000,1.000,0.000,7.000,73.604,10.681,59.248
7.160,255.818,1.000,74.959,4.000,2.000,1.000,3.000,96.522,11.183,51.083
8.137,157.998,1.000,91.156,4.000,1.000,3.000,3.000,84.641,26.506,54.549
7.920,107.363,1.000,47.224,1.000,1.000,0.000,4.000,92.629,12.157,33.438
8.249,206.626,5.000,64.227,3.000,1.000,1.000,7.000,58.489,5.921,50.400
5.422,155.787,6.000,32.080,6.000,3.000,1.000,5.000,87.715,8.898,55.373
7.079,28.435,5.000,30.622,3.000,3.000,0.000,7.000,99.482,22.303,45.169
5.208,78.187,10.000,79.382,8.000,6.000,0.000,0.000,45.625,18.768,54.937
7.470,141.026,3.000,38.281,1.000,2.000,2.000,4.000,68.227,13.281,43.493
6.649,349.771,4.000,68.347,5.000,2.000,0.000,9.000,91.052,4.700,62.314
5.723,207.279,3.000,78.721,3.000,0.000,0.000,1.000,60.781,18.679,37.498
5.517,91.928,3.000,32.256,5.000,3.000,2.000,4.000,68.035,11.775,48.112
7.938,72.226,6.000,61.412,1.000,4.000,2.000,10.000,83.596,5.864,55.099
5.853,400.146,4.000,77.891,5.000,2.000,0.000,2.000,88.605,21.992,62.499
9.626,163.612,4.000,92.281,8.000,2.000,1.000,8.000,47.969,12.187,60.105
7.905,5.134,7.000,50.946,9.000,2.000,2.000,6.000,60.422,15.302,57.661
6.734,171.604,9.000,98.195,3.000,6.000,3.000,4.000,60.643,28.798,70.147
7.955,300.793,3.000,89.118,5.000,2.000,3.000,5.000,44.934,17.669,67.976
5.114,70.202,2.000,75.544,7.000,2.000,2.000,3.000,40.925,21.058,49.444
9.793,196.049,3.000,57.435,5.000,4.000,1.000,7.000,83.405,14.691,60.976
7.412,209.675,6.000,79.778,6.000,3.000,1.000,5.000,90.380,23.513,59.041
8.914,74.129,10.000,87.134,4.000,2.000,1.000,6.000,96.875,6.826,65.023
5.414,424.187,2.000,51.231,9.000,0.000,0.000,6.000,97.159,4.699,50.416
7.433,212.303,1.000,99.498,7.000,1.000,0.000,4.000,99.654,6.315,46.540
7.454,140.461,6.000,93.603,10.000,4.000,0.000,3.000,40.395,11.236,58.812
9.689,164.447,10.000,63.985,8.000,2.000,0.000,8.000,60.792,21.044,71.194
7.859,61.725,6.000,80.598,4.000,1.000,1.000,1.000,40.340,10.361,43.887
7.367,59.307,10.000,66.681,4.000,0.000,0.000,4.000,79.063,20.684,46.034
6.335,130.356,7.000,83.265,1.000,1.000,0.000,7.000,98.205,15.785,48.995
6.658,136.867,1.000,87.889,7.000,4.000,0.000,6.000,37.384,41.017,50.781
7.603,156.347,5.000,31.626,8.000,4.000,0.000,2.000,69.211,16.049,55.299
7.195,448.768,8.000,35.539,4.000,3.000,2.000,5.000,69.662,9.661,68.222
5.108,289.857,6.000,53.553,1.000,4.000,1.000,2.000,45.613,19.482,51.167
9.131,33.956,2.000,94.233,9.000,2.000,2.000,9.000,89.175,15.105,60.932
9.481,394.258,2.000,57.879,3.000,3.000,0.000,2.000,60.657,6.836,51.905
5.701,129.549,7.000,92.126,6.000,2.000,1.000,5.000,62.330,13.164,53.963
7.770,308.985,5.000,62.370,1.000,0.000,0.000,7.000,97.527,12.995,44.888
5.543,137.885,6.000,50.220,1.000,2.000,1.000,6.000,51.080,13.464,46.592
8.361,202.661,4.000,93.045,9.000,3.000,0.000,5.000,60.055,7.158,58.262
6.406,66.196,4.000,69.247,7.000,4.000,1.000,8.000,85.060,37.674,60.602
8.297,235.727,7.000,55.234,1.000,1.000,0.000,3.000,66.199,5.069,47.412
8.635,332.943,1.000,33.108,2.000,0.000,2.000,7.000,74.222,29.103,47.181
8.843,41.439,5.000,37.765,5.000,2.000,1.000,6.000,66.058,14.291,48.804
5.539,336.402,4.000,39.752,7.000,2.000,2.000,6.000,53.416,8.019,60.893
9.580,106.993,8.000,55.539,5.000,2.000,1.000,5.000,45.577,34.334,58.392
6.151,543.111,8.000,72.513,9.000,3.000,1.000,3.000,90.259,1.679,68.558
5.187,312.850,5.000,51.531,7.000,1.000,1.000,6.000,52.889,7.952,52.897
7.774,277.066,3.000,34.587,7.000,2.000,1.000,7.000,99.829,12.629,57.460
6.855,165.174,3.000,48.537,3.000,3.000,0.000,1.000,35.654,8.711,35.069
9.149,827.617,3.000,58.608,7.000,2.000,2.000,4.000,92.327,13.563,69.070
9.041,130.199,3.000,99.459,9.000,1.000,0.000,4.000,96.579,20.126,55.699
6.586,79.817,8.000,57.509,1.000,0.000,0.000,7.000,38.816,5.992,36.402
9.764,110.131,1.000,36.244,8.000,3.000,1.000,6.000,75.792,16.566,55.577
6.455,373.467,1.000,70.678,9.000,2.000,2.000,5.000,85.874,21.249,65.460
7.575,199.873,6.000,94.375,5.000,2.000,0.000,5.000,74.999,6.460,58.664
6.280,179.061,3.000,85.069,8.000,2.000,0.000,5.000,92.208,15.780,53.568
9.680,131.744,9.000,88.535,4.000,2.000,1.000,7.000,43.611,12.923,59.286
5.823,172.227,8.000,94.976,2.000,3.000,0.000,4.000,96.669,7.384,52.988
5.225,124.639,8.000,74.558,9.000,4.000,1.000,3.000,70.783,7.855,63.188
7.175,295.023,5.000,99.645,4.000,3.000,2.000,3.000,57.384,7.915,60.585
9.962,153.647,5.000,32.330,8.000,4.000,0.000,4.000,69.137,10.604,57.163
9.458,111.823,5.000,88.439,4.000,2.000,1.000,4.000,57.055,10.697,51.551
8.743,352.990,2.000,89.991,4.000,2.000,0.000,4.000,64.604,29.708,56.225
9.454,82.084,6.000,94.169,7.000,4.000,2.000,1.000,45.170,17.275,64.116
9.467,201.916,9.000,63.472,4.000,2.000,1.000,3.000,89.902,17.573,66.079
7.594,28.209,3.000,85.143,9.000,2.000,0.000,2.000,60.325,15.305,44.924
6.580,54.717,1.000,43.656,1.000,1.000,0.000,6.000,65.356,16.065,31.088
8.860,141.172,6.000,72.219,1.000,2.000,1.000,2.000,94.122,18.276,53.792
8.308,122.822,4.000,55.105,1.000,4.000,1.000,2.000,93.955,6.721,45.846
6.868,122.671,8.000,71.732,3.000,1.000,0.000,6.000,86.225,13.274,51.860
5.472,314.776,9.000,77.289,1.000,2.000,1.000,6.000,36.951,8.077,59.883
8.734,327.189,10.000,54.295,4.000,0.000,0.000,1.000,93.914,24.290,63.027
6.312,230.557,4.000,45.137,1.000,2.000,1.000,3.000,47.268,10.003,40.734
9.684,78.251,10.000,52.518,8.000,2.000,0.000,6.000,63.489,18.414,58.607
6.205,171.228,2.000,76.477,2.000,1.000,2.000,4.000,93.694,20.339,49.141
5.614,592.381,4.000,77.381,10.000,2.000,0.000,3.000,41.178,16.674,60.684
9.156,776.773,3.000,81.892,9.000,3.000,2.000,4.000,43.652,15.650,72.286
5.766,355.266,10.000,38.858,7.000,3.000,0.000,10.000,72.444,14.239,69.971
5.896,81.000,7.000,87.296,8.000,4.000,0.000,7.000,65.401,20.903,62.752
7.997,172.357,4.000,78.170,8.000,1.000,2.000,1.000,60.329,8.489,48.002
9.373,219.989,2.000,32.135,9.000,6.000,0.000,6.000,87.628,17.431,61.227
5.982,197.159,8.000,53.492,6.000,4.000,0.000,3.000,93.154,4.036,61.952
6.552,380.032,7.000,62.670,7.000,0.000,2.000,5.000,99.443,9.704,65.400
8.887,305.566,9.000,55.243,5.000,2.000,1.000,4.000,42.992,10.499,63.817
9.859,77.180,5.000,38.219,7.000,7.000,1.000,1.000,78.956,5.419,58.015
7.504,114.045,2.000,44.514,4.000,2.000,0.000,8.000,91.637,15.665,44.930
5.719,354.283,4.000,31.719,2.000,3.000,1.000,4.000,50.634,8.855,51.779
5.070,458.361,7.000,36.515,10.000,2.000,0.000,5.000,66.202,27.061,71.294
6.148,221.935,3.000,48.641,7.000,2.000,1.000,2.000,35.466,12.253,53.018
5.659,495.230,1.000,87.398,8.000,0.000,1.000,6.000,43.750,20.062,53.650
8.388,204.440,9.000,66.865,3.000,1.000,0.000,6.000,43.162,24.580,55.176
5.609,89.579,6.000,59.715,8.000,5.000,1.000,6.000,80.992,18.667,63.850
7.532,287.171,4.000,76.351,6.000,0.000,0.000,4.000,75.446,11.206,51.504
8.471,994.339,6.000,67.906,1.000,2.000,0.000,8.000,37.515,14.199,59.782
7.906,62.187,8.000,39.206,10.000,2.000,1.000,5.000,73.720,5.447,50.635
5.999,483.267,1.000,45.584,10.000,1.000,1.000,9.000,39.429,20.251,54.737
9.021,276.273,5.000,45.577,9.000,2.000,2.000,2.000,48.143,41.934,70.204
8.577,108.559,3.000,71.997,5.000,1.000,0.000,3.000,93.589,23.460,48.915
8.695,29.012,1.000,62.314,3.000,0.000,0.000,4.000,64.072,10.898,31.448
5.655,17.330,1.000,57.131,1.000,0.000,1.000,7.000,85.788,11.544,28.360
5.619,122.471,5.000,68.965,8.000,3.000,0.000,5.000,55.430,24.028,53.934
9.638,246.233,6.000,97.908,9.000,7.000,1.000,1.000,42.200,2.884,67.969
6.988,337.348,6.000,51.994,2.000,1.000,0.000,5.000,92.732,6.078,47.654
6.505,389.938,8.000,66.414,7.000,1.000,0.000,14.000,45.649,9.143,62.406
7.443,231.274,5.000,63.626,1.000,1.000,0.000,7.000,57.727,9.650,46.316
8.314,206.697,6.000,80.165,8.000,3.000,0.000,6.000,80.580,3.835,62.732
9.778,144.831,9.000,81.120,1.000,2.000,2.000,7.000,73.467,17.961,63.518
6.432,250.399,7.000,81.035,10.000,1.000,0.000,4.000,95.319,10.999,64.009
9.624,109.929,10.000,44.106,2.000,1.000,1.000,1.000,99.199,11.059,55.063
5.124,65.323,3.000,61.437,5.000,4.000,1.000,10.000,44.531,15.247,46.861
7.776,197.615,8.000,86.782,7.000,3.000,1.000,6.000,49.728,4.843,68.629
8.170,320.360,7.000,56.707,9.000,1.000,4.000,6.000,76.546,13.419,73.283
5.529,52.901,6.000,98.898,4.000,2.000,0.000,4.000,44.538,4.783,43.528
5.702,122.481,1.000,55.535,10.000,6.000,1.000,1.000,70.244,17.937,52.278
7.096,192.350,6.000,64.837,1.000,0.000,1.000,9.000,59.234,25.820,53.345
9.831,189.418,9.000,63.217,5.000,2.000,1.000,4.000,92.728,20.193,67.469
7.980,271.271,7.000,60.356,10.000,2.000,0.000,6.000,94.676,9.746,64.951
9.665,581.656,1.000,89.194,3.000,3.000,1.000,5.000,51.824,18.950,65.584
9.022,17.549,3.000,40.869,6.000,1.000,0.000,6.000,41.218,12.011,32.608
7.337,598.332,6.000,69.737,5.000,1.000,1.000,6.000,99.420,14.780,64.258
8.924,565.208,9.000,73.302,4.000,2.000,1.000,5.000,44.743,18.336,71.373
5.089,341.082,5.000,89.585,8.000,2.000,0.000,3.000,46.273,1.488,54.961
5.546,219.018,9.000,72.644,6.000,3.000,2.000,10.000,51.391,4.109,70.277
9.147,111.736,8.000,97.201,8.000,4.000,3.000,6.000,57.156,12.542,69.489
8.984,338.313,3.000,91.052,6.000,3.000,0.000,2.000,44.606,8.372,56.107
6.163,227.099,2.000,54.412,10.000,3.000,1.000,3.000,55.945,13.662,58.515
7.654,147.244,10.000,90.193,5.000,4.000,0.000,6.000,36.432,15.060,60.291
8.030,332.481,6.000,97.093,8.000,2.000,0.000,1.000,87.064,9.796,62.812
9.339,371.390,9.000,48.004,7.000,1.000,1.000,1.000,52.131,11.343,63.059
8.016,456.054,10.000,72.715,9.000,3.000,1.000,2.000,88.156,7.166,78.559
7.063,101.737,5.000,49.726,9.000,3.000,0.000,7.000,77.050,16.148,57.060
6.871,418.364,1.000,75.470,3.000,3.000,1.000,4.000,66.235,21.592,58.725
7.129,149.381,10.000,36.555,4.000,2.000,0.000,6.000,98.199,4.965,53.736
8.260,219.455,6.000,81.393,4.000,3.000,3.000,4.000,60.134,20.975,65.465
9.337,250.540,2.000,59.387,5.000,2.000,2.000,4.000,46.595,17.381,55.725
7.269,396.326,6.000,71.112,5.000,1.000,0.000,8.000,72.534,20.095,63.042
6.239,309.960,1.000,31.810,1.000,2.000,2.000,1.000,44.110,26.160,49.731
6.183,145.330,3.000,78.681,9.000,3.000,0.000,3.000,52.993,9.808,47.336
8.730,20.745,4.000,64.719,9.000,1.000,0.000,2.000,94.003,24.000,49.679
9.083,269.059,5.000,73.768,7.000,5.000,1.000,2.000,92.990,26.401,67.938
5.526,213.006,6.000,52.097,4.000,1.000,1.000,5.000,65.272,5.410,53.390
5.333,61.421,9.000,40.207,9.000,1.000,1.000,4.000,66.088,15.092,53.879
7.972,231.426,4.000,60.480,3.000,2.000,2.000,3.000,71.841,14.741,52.169
5.731,190.564,8.000,96.079,4.000,3.000,1.000,4.000,40.472,27.312,61.654
9.123,453.155,10.000,45.946,10.000,3.000,2.000,7.000,51.455,48.288,82.613
6.552,624.486,8.000,77.309,10.000,2.000,0.000,5.000,72.699,20.224,71.169
5.719,365.301,3.000,33.489,6.000,4.000,3.000,1.000,55.876,38.164,64.496
9.605,182.498,7.000,80.267,2.000,1.000,1.000,3.000,48.870,8.686,54.738
5.828,203.420,3.000,46.691,2.000,2.000,0.000,4.000,77.078,19.163,45.863
6.424,98.711,5.000,61.606,10.000,3.000,1.000,3.000,71.818,13.480,57.017
5.768,115.103,7.000,55.743,3.000,2.000,0.000,4.000,56.260,18.150,47.708
5.577,174.674,3.000,37.899,7.000,1.000,1.000,3.000,95.930,20.419,50.912
5.106,161.195,1.000,54.191,4.000,4.000,0.000,4.000,85.550,22.411,52.622
5.277,58.080,9.000,54.509,5.000,1.000,0.000,4.000,73.749,11.461,44.609
5.873,456.219,8.000,66.547,10.000,1.000,3.000,4.000,48.615,12.772,75.204
5.267,498.018,2.000,98.065,6.000,1.000,0.000,2.000,77.126,21.409,52.200
7.956,446.724,4.000,62.901,5.000,2.000,0.000,2.000,79.703,16.710,60.956
8.404,508.977,3.000,94.010,5.000,3.000,0.000,4.000,72.782,9.247,59.727
6.968,740.691,10.000,62.309,3.000,4.000,0.000,10.000,76.467,12.985,71.936
6.590,100.310,10.000,37.528,6.000,2.000,0.000,8.000,45.545,24.977,56.251
7.523,720.603,7.000,46.111,6.000,1.000,1.000,3.000,56.775,7.627,58.037
9.375,144.637,5.000,58.526,1.000,3.000,0.000,11.000,92.898,13.806,55.009
9.256,297.269,1.000,52.776,5.000,2.000,1.000,6.000,43.912,5.927,53.759
5.217,44.999,3.000,90.608,7.000,3.000,1.000,5.000,73.330,26.217,48.726
5.907,130.337,1.000,77.505,1.000,3.000,2.000,6.000,93.348,49.662,51.694
6.184,372.243,8.000,70.482,10.000,0.000,1.000,6.000,35.920,30.146,65.715
6.247,307.052,1.000,64.386,9.000,4.000,2.000,6.000,97.863,10.216,69.489
7.856,142.444,7.000,57.809,7.000,1.000,2.000,6.000,92.417,10.182,64.521
7.081,203.353,10.000,72.853,1.000,2.000,0.000,4.000,81.479,25.433,58.039
5.246,119.451,4.000,38.723,6.000,7.000,2.000,5.000,81.094,23.682,57.211
6.868,371.564,7.000,41.377,9.000,2.000,0.000,3.000,91.402,32.592,62.915
7.619,476.070,9.000,51.218,1.000,5.000,1.000,5.000,46.115,14.230,72.343
5.508,100.695,5.000,41.983,8.000,1.000,1.000,5.000,80.496,6.911,51.005
9.167,188.481,5.000,77.397,9.000,2.000,0.000,4.000,57.324,14.431,52.802
5.260,55.796,3.000,31.734,1.000,4.000,1.000,3.000,91.917,13.173,43.182
9.624,226.498,5.000,41.212,3.000,2.000,1.000,7.000,69.667,43.875,55.490
5.496,276.205,9.000,93.183,8.000,2.000,0.000,4.000,84.778,20.580,66.333
9.218,239.835,7.000,99.828,10.000,1.000,1.000,4.000,45.857,4.127,60.875
9.513,261.391,3.000,64.131,8.000,4.000,2.000,4.000,50.733,21.036,63.539
9.898,173.871,6.000,64.676,6.000,3.000,1.000,6.000,89.481,26.361,66.823
9.010,177.002,8.000,84.138,7.000,0.000,1.000,3.000,60.690,24.099,65.233
8.897,170.872,1.000,32.533,6.000,1.000,1.000,4.000,69.309,23.303,44.389
8.212,127.166,8.000,59.892,6.000,5.000,1.000,3.000,82.160,16.530,66.236
8.895,140.144,3.000,36.988,8.000,4.000,0.000,4.000,46.030,12.788,53.942
5.673,267.600,3.000,58.065,1.000,3.000,0.000,4.000,54.664,6.630,45.125
7.680,456.533,5.000,98.868,3.000,2.000,0.000,1.000,56.167,33.819,64.801
7.571,85.908,6.000,82.754,1.000,2.000,0.000,7.000,94.584,19.525,52.850
9.288,176.505,10.000,98.953,8.000,2.000,0.000,4.000,43.943,10.361,68.728
7.314,70.336,3.000,82.223,8.000,1.000,1.000,4.000,59.136,15.489,45.717
6.925,129.052,3.000,72.568,1.000,3.000,0.000,7.000,97.356,6.674,47.299
8.198,146.760,4.000,82.795,2.000,3.000,2.000,6.000,89.267,15.408,62.744
6.332,215.232,9.000,76.136,3.000,2.000,0.000,5.000,78.580,28.504,57.864
5.699,210.945,10.000,62.485,3.000,3.000,1.000,5.000,70.681,21.089,55.154
7.389,187.232,5.000,50.478,6.000,5.000,3.000,2.000,89.517,25.853,62.120
7.084,252.672,7.000,66.412,5.000,6.000,2.000,4.000,96.516,24.773,71.058
6.163,93.355,10.000,48.095,4.000,3.000,2.000,4.000,95.065,18.584,64.843
6.838,216.514,9.000,64.067,2.000,2.000,0.000,4.000,76.543,13.315,53.002
6.832,313.004,7.000,40.229,7.000,1.000,0.000,3.000,82.312,11.598,55.726
